screen,depmap_id,lineage,lineage_subtype,is_male,primary_or_metastasis,age,replicate_id,p_dna_batch,n_genes
broad,ACH-000052,bone,Ewing_sarcoma,FALSE,primary,15,A673 AVANA-4_RepA_p6_batch3,3,18119
broad,ACH-000087,bone,Ewing_sarcoma,TRUE,primary,18,SK-ES-1-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-000279,bone,Ewing_sarcoma,NA,NA,NA,EW502-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000391,bone,Ewing_sarcoma,TRUE,metastasis,12,MHHES1-311Cas9_RepA_p6_batch4,4,18119
sanger,ACH-000391,bone,Ewing_sarcoma,TRUE,metastasis,12,MHHES1_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000424,bone,Ewing_sarcoma,TRUE,primary,22,TC-71-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-000424,bone,Ewing_sarcoma,TRUE,primary,22,TC71_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000499,bone,Ewing_sarcoma,TRUE,NA,NA,EW8-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-001033,bone,Ewing_sarcoma,NA,NA,NA,CHLA57-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-001038,bone,Ewing_sarcoma,TRUE,NA,17,COGE352-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-001192,bone,Ewing_sarcoma,FALSE,metastasis,NA,SK-NEP-1-311ca9_RepA_p6_batch3,3,18119
broad,ACH-001193,bone,Ewing_sarcoma,TRUE,NA,NA,SKPNDW-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-001193,bone,Ewing_sarcoma,TRUE,NA,NA,SKPNDW_c907R2,CRISPR_C6596666.sample,17660
broad,ACH-001205,bone,Ewing_sarcoma,FALSE,NA,17,TC32-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-001283,bone,Ewing_sarcoma,TRUE,metastasis,19,TC106-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-001430,bone,Ewing_sarcoma,TRUE,NA,NA,TC138-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-001431,bone,Ewing_sarcoma,NA,NA,NA,TC205-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-002105,bone,Ewing_sarcoma,NA,NA,NA,ES4_c907R1,CRISPR_C6596666.sample,17660
sanger,ACH-002106,bone,Ewing_sarcoma,NA,NA,NA,ES5_c907R1,CRISPR_C6596666.sample,17660
sanger,ACH-002109,bone,Ewing_sarcoma,NA,NA,NA,ES8_c903R1,ERS717283.plasmid,17660
sanger,ACH-002110,bone,Ewing_sarcoma,NA,metastasis,NA,EW1_c907R1,CRISPR_C6596666.sample,17660
sanger,ACH-002114,bone,Ewing_sarcoma,NA,NA,NA,EW16_c907R1,CRISPR_C6596666.sample,17660
sanger,ACH-002116,bone,Ewing_sarcoma,NA,NA,NA,EW22_c907R1,CRISPR_C6596666.sample,17660
sanger,ACH-002119,bone,Ewing_sarcoma,NA,metastasis,NA,EW7_c907R1,CRISPR_C6596666.sample,17660
sanger,ACH-002160,bone,Ewing_sarcoma,NA,metastasis,NA,MCIXC_c906R1,CRISPR_C6596666.sample,17660
broad,ACH-000082,bone,osteosarcoma,FALSE,primary,9,"G-292, Clone A141B1-311Cas9_RepA_p5_batch3",3,18119
broad,ACH-000364,bone,osteosarcoma,FALSE,primary,15,U2-OS-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000410,bone,osteosarcoma,FALSE,primary,11,Saos-2-311cas9_RepA_p6_batch3,3,18119
broad,ACH-000748,bone,osteosarcoma,TRUE,primary,19,SJSA-1 -311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-000748,bone,osteosarcoma,TRUE,primary,19,SJSA1_c908R1,CRISPR_C6596666.sample,17660
broad,ACH-001001,bone,osteosarcoma,FALSE,primary,13,143B-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-001526,bone,osteosarcoma,FALSE,primary,13,HUO9-311cas9-RepA-p5_batch3,3,18119
broad,ACH-001715,bone,osteosarcoma,TRUE,NA,10,CAL72-311cas9_RepA_p6_batch3,3,18119
sanger,ACH-001715,bone,osteosarcoma,TRUE,NA,10,CAL72_c908R1,CRISPR_C6596666.sample,17660
broad,ACH-001814,bone,osteosarcoma,NA,primary,NA,OS252-311cas9_RepA_p6_batch3,3,18119
broad,ACH-002069,bone,osteosarcoma,FALSE,primary,11,HSOS1-311Cas9-RepA-p6_batch4,4,18119
broad,ACH-000248,breast,breast_adenocarcinoma,FALSE,metastasis,43,AU565-311Cas9_RepA_p6_batch2,2,18119
sanger,ACH-000248,breast,breast_adenocarcinoma,FALSE,metastasis,43,AU565_c903R1,ERS717283.plasmid,17660
broad,ACH-000017,breast,breast_carcinoma,FALSE,metastasis,43,SKBR3-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000019,breast,breast_carcinoma,FALSE,metastasis,69,MCF7-311cas9_RepA_p4_batch3,3,18119
sanger,ACH-000019,breast,breast_carcinoma,FALSE,metastasis,69,MCF7_c903R1,ERS717283.plasmid,17660
broad,ACH-000028,breast,breast_carcinoma,FALSE,metastasis,50,KPL-1-311Cas9_RepA_p6_batch2,2,18119
broad,ACH-000148,breast,breast_carcinoma,FALSE,primary,74,HS578T-311cas9_RepA_p5_batch2,2,18119
sanger,ACH-000148,breast,breast_carcinoma,FALSE,primary,74,Hs578T_c904R1,ERS717283.plasmid,17660
broad,ACH-000212,breast,breast_carcinoma,FALSE,metastasis,43,CAL120-311Cas9-RepA-p6_batch3,3,18119
broad,ACH-000258,breast,breast_carcinoma,FALSE,metastasis,62,DU4475 -311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000352,breast,breast_carcinoma,FALSE,metastasis,49,HCC1428-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000573,breast,breast_carcinoma,FALSE,metastasis,43,MDAMB436-311cas9 Rep A p5_batch2,2,18119
sanger,ACH-000573,breast,breast_carcinoma,FALSE,metastasis,43,MB436_c903R1,ERS717283.plasmid,17660
broad,ACH-000721,breast,breast_carcinoma,FALSE,metastasis,35,HMC18-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000768,breast,breast_carcinoma,FALSE,metastasis,51,MDAMB231-311Cas9_RepA_p5_batch2,2,18119
sanger,ACH-000768,breast,breast_carcinoma,FALSE,metastasis,51,MDAMB2_c903R2,ERS717283.plasmid,17660
broad,ACH-000783,breast,breast_carcinoma,FALSE,metastasis,51,Cama1-311Cas9_RepA_p4_batch2,2,18119
broad,ACH-000849,breast,breast_carcinoma,FALSE,metastasis,51,MDAMB468-311cas9_RepB_p6_batch2,2,18119
sanger,ACH-000849,breast,breast_carcinoma,FALSE,metastasis,51,MB468_c903R1,ERS717283.plasmid,17660
broad,ACH-000856,breast,breast_carcinoma,FALSE,metastasis,45,Cal-51-311cas9 Rep A p6_batch3,3,18119
sanger,ACH-000856,breast,breast_carcinoma,FALSE,metastasis,45,CAL51_c903R1,ERS717283.plasmid,17660
broad,ACH-000876,breast,breast_carcinoma,FALSE,metastasis,38,MDAMB415-311cas9 Rep A p4_batch2,2,18119
sanger,ACH-000876,breast,breast_carcinoma,FALSE,metastasis,38,MB415_c903R1,ERS717283.plasmid,17660
broad,ACH-000910,breast,breast_carcinoma,FALSE,metastasis,48,MDAMB453-311Cas9_RepA_p5_batch2,2,18119
sanger,ACH-000910,breast,breast_carcinoma,FALSE,metastasis,48,MB453_c903R1,ERS717283.plasmid,17660
sanger,ACH-000934,breast,breast_carcinoma,FALSE,metastasis,40,MB361_c904R1,ERS717283.plasmid,17660
sanger,ACH-001065,breast,breast_carcinoma,FALSE,metastasis,NA,EVSAT_c903R1,ERS717283.plasmid,17660
broad,ACH-001391,breast,breast_carcinoma,FALSE,primary,NA,SUM159PT-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-001394,breast,breast_carcinoma,FALSE,metastasis,NA,SUM229PE-311Cas9_RepA_p3_batch3,3,18119
broad,ACH-001396,breast,breast_carcinoma,FALSE,metastasis,NA,SUM52PE-311cas9_RepA_p6_batch3,3,18119
sanger,ACH-002179,breast,breast_carcinoma,NA,metastasis,NA,OCUBM_c903R1,ERS717283.plasmid,17660
broad,ACH-002399,breast,breast_carcinoma,FALSE,primary,36,21NT-311Cas9-RepAB-p6_batch4,4,18119
broad,ACH-000097,breast,breast_ductal_carcinoma,FALSE,metastasis,63,ZR-75-1-311Cas9_RepA_p5_batch2,2,18119
broad,ACH-000111,breast,breast_ductal_carcinoma,FALSE,primary,41,HCC1187-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-000111,breast,breast_ductal_carcinoma,FALSE,primary,41,HCC118_c903R1,ERS717283.plasmid,17660
broad,ACH-000147,breast,breast_ductal_carcinoma,FALSE,metastasis,54,T47D-311Cas9-RepA-p6_batch4,4,18119
sanger,ACH-000147,breast,breast_ductal_carcinoma,FALSE,metastasis,54,T47d_c903R2,ERS717283.plasmid,17660
broad,ACH-000223,breast,breast_ductal_carcinoma,FALSE,primary,24,HCC1937-311Cas9_RepA_p5_batch3,3,18119
sanger,ACH-000223,breast,breast_ductal_carcinoma,FALSE,primary,24,HCC193_c903R1,ERS717283.plasmid,17660
broad,ACH-000276,breast,breast_ductal_carcinoma,FALSE,primary,50,HCC38-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-000276,breast,breast_ductal_carcinoma,FALSE,primary,50,HCC38_c903R1,ERS717283.plasmid,17660
broad,ACH-000277,breast,breast_ductal_carcinoma,FALSE,primary,42,HCC1419-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000288,breast,breast_ductal_carcinoma,FALSE,primary,72,BT549-311cas9 Rep A p5_batch2,2,18119
broad,ACH-000330,breast,breast_ductal_carcinoma,FALSE,metastasis,50,EFM19-311cas9_RepA_p5_batch2,2,18119
broad,ACH-000374,breast,breast_ductal_carcinoma,FALSE,primary,52,HCC1143-311cas9 Rep A p6_batch2,2,18119
sanger,ACH-000374,breast,breast_ductal_carcinoma,FALSE,primary,52,HCC114_c904R1,ERS717283.plasmid,17660
sanger,ACH-000554,breast,breast_ductal_carcinoma,FALSE,primary,57,U893_c903R1,ERS717283.plasmid,17660
broad,ACH-000621,breast,breast_ductal_carcinoma,FALSE,metastasis,44,MDAMB157-311cas9 Rep A p4_batch2,2,18119
broad,ACH-000624,breast,breast_ductal_carcinoma,FALSE,primary,60,HCC1806-311cas9_RepA_p5_batch3,3,18119
sanger,ACH-000624,breast,breast_ductal_carcinoma,FALSE,primary,60,HCC180_c904R1,ERS717283.plasmid,17660
sanger,ACH-000668,breast,breast_ductal_carcinoma,FALSE,primary,49,HCC70_c903R1,ERS717283.plasmid,17660
broad,ACH-000699,breast,breast_ductal_carcinoma,FALSE,primary,43,HCC1395-311Cas9_RepA_p3_batch2,2,18119
sanger,ACH-000699,breast,breast_ductal_carcinoma,FALSE,primary,43,HCC139_c903R1,ERS717283.plasmid,17660
broad,ACH-000711,breast,breast_ductal_carcinoma,FALSE,metastasis,62,JIMT1-P6 RepA Unmodified primers_batch3,3,18119
sanger,ACH-000711,breast,breast_ductal_carcinoma,FALSE,metastasis,62,JIMT1_c903R1,ERS717283.plasmid,17660
broad,ACH-000725,breast,breast_ductal_carcinoma,FALSE,primary,82,HCC202-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-000859,breast,breast_ductal_carcinoma,FALSE,primary,61,HCC1954-311Cas9_RepB_p6_batch2,2,18119
sanger,ACH-000859,breast,breast_ductal_carcinoma,FALSE,primary,61,HCC195_c903R1,ERS717283.plasmid,17660
broad,ACH-001389,breast,breast_ductal_carcinoma,FALSE,metastasis,NA,SUM1315MO2-311cas9-RepA-p6_batch4,4,18119
broad,ACH-001390,breast,breast_ductal_carcinoma,FALSE,primary,NA,SUM149PT-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001419,breast,breast_ductal_carcinoma,FALSE,primary,47,VP229-311cas9-RepA-p6_batch4,4,18119
broad,ACH-001819,breast,breast_ductal_carcinoma,FALSE,metastasis,NA,MFM223-311cas9-RepA-p6_batch4,4,18119
sanger,ACH-001819,breast,breast_ductal_carcinoma,FALSE,metastasis,NA,MFM223_c903R1,ERS717283.plasmid,17660
broad,ACH-001820,breast,NA,FALSE,metastasis,NA,COLO824-RepA-p6_batch4,4,18119
sanger,ACH-001820,breast,NA,FALSE,metastasis,NA,CO824_c903R1,ERS717283.plasmid,17660
broad,ACH-000036,central_nervous_system,glioma,NA,NA,64,U343-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000040,central_nervous_system,glioma,TRUE,primary,NA,U118MG-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-000067,central_nervous_system,glioma,TRUE,primary,76,HS683-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-000067,central_nervous_system,glioma,TRUE,primary,76,Hs683_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000075,central_nervous_system,glioma,NA,primary,44,U87-MG-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-000075,central_nervous_system,glioma,NA,primary,44,U87MG_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000098,central_nervous_system,glioma,FALSE,primary,42,GAMG-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-000098,central_nervous_system,glioma,FALSE,primary,42,GAMG_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000128,central_nervous_system,glioma,TRUE,NA,67,LN319-311CAS9_RepA_p6_batch3,3,18119
broad,ACH-000137,central_nervous_system,glioma,FALSE,primary,54,8-MG-BA-311Cas9_RepA_p5_batch3,3,18119
sanger,ACH-000137,central_nervous_system,glioma,FALSE,primary,54,8MGBA_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000152,central_nervous_system,glioma,TRUE,primary,33,M059K-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-000200,central_nervous_system,glioma,FALSE,primary,NA,NMC-G1-311Cas9_RepA_p5_batch3,3,18119
sanger,ACH-000200,central_nervous_system,glioma,FALSE,primary,NA,NMCG1_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000215,central_nervous_system,glioma,TRUE,NA,NA,LN382-311CAS9_RepA_p6_batch3,3,18119
broad,ACH-000231,central_nervous_system,glioma,FALSE,primary,NA,KALS1 -311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000232,central_nervous_system,glioma,TRUE,primary,NA,U251MG-311Cas9_RepA_p6_batch2,2,18119
sanger,ACH-000232,central_nervous_system,glioma,TRUE,primary,NA,U251_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000244,central_nervous_system,glioma,FALSE,primary,67,DKMG-311Cas9_RepA_p5_batch3,3,18119
sanger,ACH-000244,central_nervous_system,glioma,FALSE,primary,67,DKMG_c907R1,CRISPR_C6596666.sample,17660
sanger,ACH-000269,central_nervous_system,glioma,TRUE,primary,36,AM38_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000273,central_nervous_system,glioma,FALSE,primary,NA,SF539-311cas9_RepA_p6_batch3,3,18119
sanger,ACH-000273,central_nervous_system,glioma,FALSE,primary,NA,SF539_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000323,central_nervous_system,glioma,TRUE,primary,63,42-MG-BA-311Cas9_RepA_p6_batch3,3,18119
sanger,ACH-000323,central_nervous_system,glioma,TRUE,primary,63,42MGBA_c907R1,CRISPR_C6596666.sample,17660
broad,ACH-000329,central_nervous_system,glioma,FALSE,primary,68,CCF-STTG1-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-000368,central_nervous_system,glioma,TRUE,primary,61,SNU-1105-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000370,central_nervous_system,glioma,TRUE,NA,65,SNU626-311Cas9-RepB-p5_batch3,3,18119
